# BENCH: Cohere 100K, dim=768, GT=brute-force, seed=42, nq=100, warmup=10
# Instance: i4i (54.177.159.179), NVMe direct_io=true, BENCH_DIR=/mnt/nvme/bench
# Date: 2026-03-07 (run 2)
# Index: NSW m_max=32, ef_c=200, cosine
# Search: ef=200, k=100, W=4, prefetch_budget=4
# cold: cache_pct=0 (single 8-way set, 32KB), warmup=0
# warm: cache_pct=5, warmup=10
# ms/mis = avg io_wait_ms per cache miss (device latency proxy)
label	ef	k	W	S	D	c%	recall	p50ms	p99ms	qps	exp	use	wst	blk/q	mis/q	hit/q	sf/q	pf_i	pf_c	best@	1stk@	early%	waste%	hit%	io_ms	cmp_ms	dst_ms	ms/mis
warm	200	100	4	0	0	5	0.963	8.4	11.1	124.7	201	92	109	201.1	24.3	176.8	45.5	127.5	122.6	13.3	1.3	0.0	54.1	87.9	5.56	2.26	2.03	0.229
warm-S4D8	200	100	4	4	8	5	0.950	6.9	10.9	152.4	157	87	70	157.4	21.7	135.7	31.3	99.0	94.0	11.7	1.3	87.0	44.6	86.2	4.59	1.80	1.62	0.211
warm-S4D16	200	100	4	4	16	5	0.960	8.1	11.3	133.7	184	91	93	183.8	23.6	160.2	38.4	115.7	110.7	11.7	1.3	52.0	50.6	87.2	5.19	2.10	1.89	0.220
warm-S8D16	200	100	4	8	16	5	0.961	8.3	11.2	129.6	191	92	99	190.6	24.0	166.6	40.9	120.5	115.7	11.7	1.3	39.0	52.0	87.4	5.36	2.16	1.94	0.223
cold	200	100	4	0	0	0	0.963	14.2	17.0	71.1	201	92	109	201.1	82.3	119.3	41.4	234.8	119.3	13.3	1.3	0.0	54.1	59.3	11.51	2.37	2.14	0.140
cold-S4D8	200	100	4	4	8	0	0.950	11.6	16.6	88.0	157	87	70	157.4	68.5	89.5	28.9	187.2	89.5	11.7	1.3	87.0	44.6	56.9	9.38	1.83	1.65	0.137
cold-S4D16	200	100	4	4	16	0	0.960	13.6	16.5	76.8	184	91	93	183.8	78.3	106.1	34.8	216.3	106.1	11.7	1.3	52.0	50.6	57.7	10.71	2.13	1.93	0.137
cold-S8D16	200	100	4	8	16	0	0.961	14.6	19.0	70.0	191	92	99	190.6	78.6	112.7	41.0	220.4	112.7	11.7	1.3	39.0	52.0	59.1	11.87	2.23	2.02	0.151
