=== EXP-PQ-GATE: Cohere 100K, dim=768, k=100, M=48, subspace_dim=16 ===
gate	gmin	ef	recall	p50ms	p99ms	qps	exp/q	blk/q	mis/q	pq_scrd	pq_pass	pq_filt	use/q	wst/q
1.00	4	200	0.963	8.6	11.0	122.0	201.1	201.1	24.3	0.0	0.0	0.0	92.3	108.8
0.75	4	200	0.963	10.2	13.4	104.3	201.2	201.2	24.5	3283.0	2541.6	741.5	93.0	108.2
0.50	4	200	0.960	9.9	13.1	107.5	201.3	201.3	25.9	3494.4	1816.2	1678.2	98.2	103.1
0.33	4	200	0.952	9.7	13.1	110.1	201.1	201.1	29.1	3701.8	1338.9	2362.9	107.5	93.6
0.25	4	200	0.945	9.5	12.7	112.3	201.1	201.1	32.4	3841.1	1096.5	2744.6	116.0	85.0
