# BENCH: Cohere 100K, dim=768, GT=brute-force, seed=42, nq=100, warmup=10
# Instance: i4i (54.177.159.179), NVMe direct_io=true, BENCH_DIR=/mnt/nvme/bench
# Date: 2026-03-07 (Ada-ef v0.2: 5-bucket diagnostics + per-bucket latency)
# Index: NSW m_max=32, ef_c=200, cosine, entry_set=64
# Ada-ef: diagonal-only variance, from_raw_vectors_cosine (normalized internally)
#   score thresholds=[20,16,12,8] → ef=[150,170,190,200], floor=250
#   S=0, D=0 everywhere (clean ef-only calibration)
# Score distribution: min=4.96 p25=11.09 p50=13.83 mean=14.50 p75=18.51 max=28.24
# Bucket distribution: >=20:18q >=16:16q >=12:31q >=8:24q <8:11q
#
# KEY FINDINGS (5-bucket diagnostic):
# 1. The <12 bucket from v0.1 was hiding two very different populations:
#    - >=8 (24q): recall=0.929 at ef=200 — moderately hard, NOT helped by ef>200
#    - <8  (11q): recall=0.942 at ef=200 — actually BETTER than >=8 despite lower score!
#      With Ada-ef floor=250: recall=0.954, avg_ef=250, blk=252, p99=15.5ms (warm)
#
# 2. p99 TAIL is clearly from <8 bucket:
#    warm-ada overall p99=14.0ms, <8 bucket p99=15.5ms (vs baseline <8: 11.1ms)
#    The 11 hardest queries at ef=250 add ~4ms tail — this IS the price of extra budget
#
# 3. Surprise: >=8 bucket is the ACTUAL recall bottleneck (0.929), not <8 (0.942)
#    These 24 queries drag overall recall down and DON'T benefit from ef>200
#    → Graph quality / entry point problem, not budget problem
#
# 4. Ada-ef <8 GAINS are real: 0.942 → 0.954 (+0.012) with 50 extra blocks
#    Worth it for recall, but must accept p99 increase
#
# Per-bucket breakdown (warm):
# BASELINE (ef=200 uniform):
#   bucket     n  recall  blk/q avg_ef  p99ms  maxms
#     >=20    18   0.980      -    200    9.3    9.3
#     >=16    16   0.981      -    200    9.2    9.2
#     >=12    31   0.977      -    200    9.3    9.3
#      >=8    24   0.929      -    200    9.5    9.5
#       <8    11   0.942      -    200   11.1   11.1
#
# ADA-EF v0.2:
#   bucket     n  recall  blk/q avg_ef  p99ms  maxms
#     >=20    18   0.970  150.7    150    8.1    8.1   (-0.010 recall, -50 blk/q, -1.2ms p99)
#     >=16    16   0.974  170.7    170    9.6    9.6   (-0.007 recall, -30 blk/q, +0.4ms p99)
#     >=12    31   0.976  191.1    190   10.3   10.3   (-0.001 recall, -10 blk/q, +1.0ms p99)
#      >=8    24   0.929  201.3    200   11.0   11.0   ( 0.000 recall,   0 blk/q, +1.5ms p99)
#       <8    11   0.954  251.8    250   15.5   15.5   (+0.012 recall, +52 blk/q, +4.4ms p99)
#
label	ef	k	W	S	D	c%	recall	p50ms	p99ms	qps	exp	use	wst	blk/q	mis/q	hit/q	sf/q	pf_i	pf_c	best@	1stk@	early%	waste%	hit%	io_ms	cmp_ms	dst_ms	ms/mis
warm	200	100	4	0	0	5	0.963	8.0	10.5	133.4	201	92	109	201.1	24.3	176.8	44.6	127.5	122.6	13.3	1.3	0.0	54.1	87.9	5.63	1.71	1.50	0.232
warm-S4D16	200	100	4	4	16	5	0.960	8.6	12.1	124.1	184	91	93	183.8	23.6	160.2	44.4	115.7	110.7	11.7	1.3	52.0	50.6	87.2	6.17	1.73	1.53	0.262
warm-ada	200	100	4	0	0	5	0.961	8.5	14.0	121.0	190	88	102	189.7	23.9	165.8	47.2	121.7	116.8	13.3	1.3	0.0	53.7	87.4	6.47	1.62	1.42	0.271
cold	200	100	4	0	0	0	0.963	14.4	18.7	69.7	201	92	109	201.1	83.7	118.0	38.5	235.6	118.0	13.3	1.3	0.0	54.1	58.6	12.35	1.85	1.63	0.148
cold-S4D16	200	100	4	4	16	0	0.960	13.3	17.2	76.6	184	91	93	183.8	79.0	105.4	34.4	219.4	105.4	11.7	1.3	52.0	50.6	57.4	11.07	1.83	1.63	0.140
cold-ada	200	100	4	0	0	0	0.961	12.9	19.9	76.6	190	88	102	189.7	79.3	110.8	37.1	225.0	110.8	13.3	1.3	0.0	53.7	58.4	11.21	1.68	1.47	0.141
